,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
16418,47570,Female,Loyal Customer,67,Personal Travel,Eco Plus,558,2,4,2,4,4,4,4,4,4,2,4,5,4,3,25,6.0,neutral or dissatisfied
16419,22644,Male,Loyal Customer,65,Personal Travel,Eco,300,4,2,4,4,4,5,5,4,3,3,3,5,2,5,169,164.0,neutral or dissatisfied
16420,99294,Male,Loyal Customer,19,Personal Travel,Eco Plus,935,4,4,3,2,5,3,5,5,4,2,5,4,4,5,7,4.0,neutral or dissatisfied
16421,13049,Female,Loyal Customer,43,Personal Travel,Eco,438,3,5,3,3,2,5,1,5,5,3,5,1,5,1,15,3.0,neutral or dissatisfied
16422,11465,Male,disloyal Customer,18,Business travel,Business,270,0,5,0,1,5,0,5,5,3,3,4,3,4,5,0,0.0,satisfied
16423,59918,Male,Loyal Customer,47,Business travel,Business,2667,5,5,3,5,5,4,4,4,4,4,4,4,4,5,0,0.0,satisfied
16424,34183,Female,Loyal Customer,42,Business travel,Eco,646,5,5,3,5,3,5,1,5,5,5,5,5,5,5,9,4.0,satisfied
16425,91073,Female,Loyal Customer,13,Personal Travel,Eco,240,3,4,3,1,3,3,3,3,3,2,4,5,5,3,2,0.0,neutral or dissatisfied
16426,6008,Male,disloyal Customer,19,Business travel,Business,672,4,4,4,1,4,2,2,4,4,5,5,2,3,2,1,136.0,satisfied
16427,63606,Male,Loyal Customer,47,Business travel,Business,1440,2,2,2,2,4,4,4,5,5,5,5,5,5,4,0,11.0,satisfied
16428,103815,Male,Loyal Customer,41,Business travel,Business,1587,4,4,4,4,4,4,5,4,4,4,4,5,4,5,23,48.0,satisfied
16429,17757,Male,Loyal Customer,59,Personal Travel,Eco,382,2,5,2,1,1,2,1,1,5,3,5,3,4,1,0,0.0,neutral or dissatisfied
16430,88061,Female,Loyal Customer,22,Business travel,Business,2835,4,4,5,4,5,5,5,5,5,2,4,5,4,5,0,0.0,satisfied
16431,59659,Male,Loyal Customer,46,Personal Travel,Eco,965,3,1,3,4,1,3,1,1,3,3,3,2,3,1,0,0.0,neutral or dissatisfied
16432,121737,Male,Loyal Customer,36,Personal Travel,Eco,1475,5,4,5,3,4,5,4,4,3,3,4,5,5,4,0,0.0,satisfied
16433,39536,Female,Loyal Customer,53,Personal Travel,Business,954,2,5,2,4,4,4,4,1,1,2,1,5,1,5,0,28.0,neutral or dissatisfied
16434,32473,Female,Loyal Customer,35,Business travel,Business,3487,1,1,1,1,4,2,4,5,5,5,5,2,5,2,0,0.0,satisfied
16435,13558,Female,Loyal Customer,50,Personal Travel,Eco,106,5,2,5,3,3,4,4,2,2,5,2,1,2,2,0,0.0,satisfied
16436,56196,Female,Loyal Customer,58,Personal Travel,Eco,1400,2,4,2,5,3,5,5,2,2,2,2,5,2,4,0,7.0,neutral or dissatisfied
16437,122753,Male,Loyal Customer,47,Personal Travel,Eco,651,3,2,3,3,1,3,1,1,4,4,3,3,3,1,0,0.0,neutral or dissatisfied
16438,54069,Female,Loyal Customer,21,Business travel,Business,1416,2,2,2,2,4,4,4,4,5,1,3,3,2,4,0,0.0,satisfied
16439,111887,Male,disloyal Customer,16,Business travel,Eco,628,3,3,3,3,1,3,3,1,4,1,4,1,3,1,21,14.0,neutral or dissatisfied
16440,51319,Female,Loyal Customer,50,Business travel,Eco Plus,421,4,1,1,1,5,4,3,4,4,4,4,3,4,2,0,0.0,satisfied
16441,81834,Female,Loyal Customer,12,Personal Travel,Eco,1416,4,1,4,2,1,4,1,1,4,3,2,2,3,1,0,0.0,satisfied
16442,37830,Male,Loyal Customer,41,Business travel,Eco,1065,5,4,4,4,5,5,5,5,5,1,5,2,4,5,5,0.0,satisfied
16443,109749,Female,Loyal Customer,58,Business travel,Business,587,4,4,5,4,3,4,5,4,4,4,4,4,4,5,0,0.0,satisfied
16444,112699,Male,Loyal Customer,43,Business travel,Business,697,3,3,3,3,2,5,4,4,4,4,4,3,4,4,10,0.0,satisfied
16445,59936,Male,Loyal Customer,49,Business travel,Business,1681,3,2,2,2,5,4,3,3,3,3,3,3,3,3,18,6.0,neutral or dissatisfied
16446,103763,Male,Loyal Customer,57,Business travel,Business,2259,2,2,4,2,4,5,5,5,5,4,5,3,5,3,7,4.0,satisfied
16447,123097,Female,disloyal Customer,62,Business travel,Eco,600,1,1,1,4,1,1,1,1,4,2,4,3,4,1,0,7.0,neutral or dissatisfied
16448,93303,Female,Loyal Customer,44,Business travel,Business,1733,3,3,3,3,2,5,5,5,5,5,5,5,5,3,0,0.0,satisfied
16449,37975,Female,Loyal Customer,35,Business travel,Business,1121,2,2,2,2,3,5,4,4,4,4,4,3,4,5,0,0.0,satisfied
16450,18539,Male,Loyal Customer,39,Business travel,Eco,192,4,4,5,4,4,4,4,4,1,1,3,4,2,4,0,0.0,satisfied
16451,17922,Female,Loyal Customer,40,Personal Travel,Eco,900,2,5,2,1,4,2,3,4,4,5,4,1,5,4,0,0.0,neutral or dissatisfied
16452,111002,Female,Loyal Customer,50,Business travel,Business,2347,3,3,3,3,3,5,4,5,5,5,5,4,5,4,2,11.0,satisfied
16453,97341,Female,Loyal Customer,29,Business travel,Business,3831,3,4,4,4,3,3,3,3,2,4,4,1,3,3,0,0.0,neutral or dissatisfied
16454,111779,Male,Loyal Customer,52,Business travel,Business,1620,5,5,5,5,3,5,5,4,4,4,4,5,4,3,0,0.0,satisfied
16455,7686,Female,Loyal Customer,34,Business travel,Business,2499,1,1,1,1,5,2,2,4,4,4,4,4,4,4,0,0.0,satisfied
16456,33695,Male,Loyal Customer,19,Business travel,Eco,899,3,2,2,2,3,3,1,3,4,1,4,4,3,3,0,10.0,neutral or dissatisfied
16457,118438,Female,disloyal Customer,22,Business travel,Business,651,4,4,4,2,1,4,1,1,3,4,4,3,5,1,29,40.0,satisfied
16458,100079,Female,Loyal Customer,36,Business travel,Eco Plus,277,1,4,4,4,1,1,1,1,1,3,3,1,4,1,8,16.0,neutral or dissatisfied
16459,17205,Male,Loyal Customer,41,Personal Travel,Eco,694,4,4,4,3,5,4,5,5,4,2,5,4,4,5,0,3.0,neutral or dissatisfied
16460,39693,Male,disloyal Customer,25,Business travel,Eco,946,2,2,2,3,3,2,4,3,4,2,3,3,3,3,52,40.0,neutral or dissatisfied
16461,86874,Female,Loyal Customer,44,Business travel,Business,692,2,2,2,2,3,4,4,3,3,3,3,4,3,4,0,0.0,satisfied
16462,65859,Female,Loyal Customer,35,Personal Travel,Eco,1389,4,5,4,3,2,4,5,2,4,5,4,5,4,2,15,0.0,neutral or dissatisfied
16463,119480,Female,Loyal Customer,30,Business travel,Business,3232,4,4,4,4,5,5,5,5,3,2,5,5,5,5,24,9.0,satisfied
16464,3336,Male,Loyal Customer,44,Business travel,Business,240,5,5,5,5,3,5,5,5,5,5,5,4,5,4,16,11.0,satisfied
16465,45636,Male,Loyal Customer,44,Personal Travel,Eco,313,5,5,5,4,5,2,2,5,5,4,4,2,4,2,161,162.0,satisfied
16466,125529,Female,Loyal Customer,44,Business travel,Business,226,0,0,0,3,5,5,4,4,4,4,4,4,4,5,11,19.0,satisfied
16467,61005,Female,Loyal Customer,23,Business travel,Eco Plus,649,2,5,5,5,2,2,1,2,2,1,4,1,4,2,0,0.0,neutral or dissatisfied
16468,118789,Male,Loyal Customer,65,Personal Travel,Eco,647,1,4,1,4,2,1,2,2,3,2,4,5,4,2,0,5.0,neutral or dissatisfied
16469,80705,Male,Loyal Customer,54,Personal Travel,Eco,748,3,4,3,4,1,3,1,1,4,5,5,3,5,1,0,0.0,neutral or dissatisfied
16470,126668,Female,Loyal Customer,42,Business travel,Business,2276,2,3,3,3,1,1,2,2,2,2,2,2,2,3,4,0.0,neutral or dissatisfied
16471,24007,Female,disloyal Customer,34,Business travel,Eco,427,3,0,3,1,5,3,3,5,3,1,3,5,3,5,8,19.0,neutral or dissatisfied
16472,36815,Female,Loyal Customer,18,Personal Travel,Eco,2300,4,5,4,4,4,2,2,3,4,5,4,2,5,2,8,4.0,neutral or dissatisfied
16473,76001,Male,Loyal Customer,50,Business travel,Business,1822,0,0,0,2,5,5,4,2,2,2,2,3,2,5,0,0.0,satisfied
16474,117327,Female,Loyal Customer,62,Personal Travel,Eco Plus,370,5,1,5,3,4,3,2,3,3,5,3,3,3,2,0,0.0,satisfied
16475,17521,Male,Loyal Customer,17,Personal Travel,Eco,341,3,4,3,5,2,3,2,2,3,3,5,5,4,2,0,0.0,neutral or dissatisfied
16476,53139,Male,Loyal Customer,41,Business travel,Business,2181,1,4,5,4,2,3,3,1,1,2,1,4,1,2,53,28.0,neutral or dissatisfied
16477,119216,Male,Loyal Customer,29,Personal Travel,Eco,257,3,4,3,3,2,3,2,2,1,2,4,1,3,2,0,0.0,neutral or dissatisfied
16478,79949,Female,Loyal Customer,48,Business travel,Eco,950,3,2,2,2,5,3,3,3,3,3,3,3,3,1,0,29.0,neutral or dissatisfied
16479,124981,Male,disloyal Customer,37,Business travel,Business,184,4,4,4,4,1,4,1,1,5,2,4,3,5,1,23,41.0,neutral or dissatisfied
16480,88814,Female,Loyal Customer,57,Business travel,Eco Plus,545,3,1,1,1,1,2,2,3,3,3,3,2,3,2,0,0.0,neutral or dissatisfied
16481,113789,Male,Loyal Customer,53,Business travel,Business,386,4,4,4,4,5,5,4,4,4,4,4,3,4,5,0,0.0,satisfied
16482,116025,Female,Loyal Customer,27,Personal Travel,Eco,417,2,3,2,3,4,2,4,4,4,2,3,1,4,4,32,27.0,neutral or dissatisfied
16483,13636,Male,Loyal Customer,44,Business travel,Eco Plus,1014,1,3,3,3,1,1,1,1,4,2,3,1,3,1,0,0.0,neutral or dissatisfied
16484,39104,Male,Loyal Customer,23,Personal Travel,Business,252,5,5,5,3,2,5,2,2,4,4,1,2,1,2,0,0.0,satisfied
16485,58427,Female,Loyal Customer,39,Business travel,Eco,333,5,4,4,4,5,5,5,5,3,2,1,1,5,5,0,0.0,satisfied
16486,22965,Male,Loyal Customer,31,Business travel,Business,528,2,2,2,2,2,1,2,2,2,1,3,3,3,2,0,0.0,neutral or dissatisfied
16487,77083,Female,Loyal Customer,40,Personal Travel,Eco,991,4,5,4,2,2,4,2,2,5,5,5,3,5,2,0,0.0,satisfied
16488,115368,Male,disloyal Customer,20,Business travel,Eco,342,4,0,4,3,3,4,3,3,3,5,5,4,5,3,0,0.0,satisfied
16489,95790,Male,Loyal Customer,47,Personal Travel,Eco,181,3,5,3,3,5,3,1,5,5,4,5,3,5,5,9,0.0,neutral or dissatisfied
16490,60382,Female,disloyal Customer,22,Business travel,Eco,704,2,2,2,3,4,2,4,4,3,4,5,5,5,4,0,0.0,neutral or dissatisfied
16491,47846,Female,Loyal Customer,35,Business travel,Business,1848,1,4,4,4,3,4,4,1,1,1,1,2,1,2,6,2.0,neutral or dissatisfied
16492,25850,Male,disloyal Customer,38,Business travel,Eco,484,1,0,1,1,3,1,5,3,1,5,3,4,4,3,0,0.0,neutral or dissatisfied
16493,43190,Male,Loyal Customer,24,Business travel,Business,3073,1,1,1,1,5,5,5,5,3,2,4,3,3,5,0,0.0,satisfied
16494,117891,Male,Loyal Customer,57,Business travel,Business,3477,5,5,5,5,2,4,4,2,2,2,2,5,2,4,0,0.0,satisfied
16495,65925,Male,Loyal Customer,59,Personal Travel,Eco,569,3,2,3,3,3,3,3,3,3,5,3,3,4,3,0,1.0,neutral or dissatisfied
16496,85445,Female,Loyal Customer,57,Business travel,Business,3898,5,5,5,5,3,4,4,4,4,4,4,4,4,5,5,0.0,satisfied
16497,54335,Female,Loyal Customer,61,Personal Travel,Eco,1597,2,4,2,4,3,5,4,2,2,2,1,5,2,3,0,0.0,neutral or dissatisfied
16498,59427,Female,Loyal Customer,55,Business travel,Business,2338,4,4,4,4,3,5,4,4,4,4,4,4,4,5,10,0.0,satisfied
16499,68885,Male,disloyal Customer,62,Business travel,Business,936,1,1,1,1,3,1,5,3,3,2,5,4,5,3,0,0.0,neutral or dissatisfied
16500,82191,Female,Loyal Customer,26,Business travel,Business,1927,2,5,2,5,2,2,2,2,2,2,1,2,2,2,19,19.0,neutral or dissatisfied
16501,20314,Male,Loyal Customer,34,Personal Travel,Eco,900,4,5,4,4,3,4,3,3,3,5,2,4,3,3,0,0.0,neutral or dissatisfied
16502,17444,Female,Loyal Customer,43,Personal Travel,Eco,376,5,5,5,1,4,5,5,5,5,5,3,4,5,5,0,0.0,satisfied
16503,114981,Female,Loyal Customer,56,Business travel,Business,2370,2,2,3,2,5,5,5,5,5,5,5,3,5,4,3,,satisfied
16504,99319,Male,Loyal Customer,38,Business travel,Business,448,2,2,2,2,5,4,3,2,2,1,2,1,2,2,123,115.0,neutral or dissatisfied
16505,98522,Female,Loyal Customer,66,Personal Travel,Eco,402,3,4,4,1,5,5,4,1,1,4,1,3,1,5,0,0.0,neutral or dissatisfied
16506,82544,Male,Loyal Customer,22,Personal Travel,Eco,629,3,2,3,3,4,3,1,4,4,3,4,2,4,4,0,0.0,neutral or dissatisfied
16507,89881,Male,Loyal Customer,22,Business travel,Eco,1487,3,1,1,1,3,3,4,3,4,2,4,4,4,3,0,0.0,neutral or dissatisfied
16508,19530,Female,Loyal Customer,49,Business travel,Business,173,4,4,1,4,3,4,2,5,5,5,4,3,5,1,0,5.0,satisfied
16509,118387,Female,Loyal Customer,49,Business travel,Business,1705,1,1,5,1,2,5,5,4,4,4,4,3,4,4,1,0.0,satisfied
16510,1687,Female,Loyal Customer,55,Business travel,Business,2541,1,0,0,4,5,3,4,5,5,0,5,4,5,2,0,3.0,neutral or dissatisfied
16511,11715,Male,Loyal Customer,58,Business travel,Business,1746,5,1,5,5,2,4,5,4,4,4,4,4,4,3,0,0.0,satisfied
16512,57143,Female,disloyal Customer,36,Business travel,Business,1222,2,1,1,1,3,1,3,3,5,2,4,3,5,3,37,41.0,neutral or dissatisfied
16513,129018,Female,disloyal Customer,41,Business travel,Eco,876,3,3,3,4,3,3,3,3,2,4,4,3,3,3,39,0.0,neutral or dissatisfied
16514,17307,Male,disloyal Customer,61,Business travel,Eco,403,3,4,3,3,2,3,3,2,3,3,3,2,3,2,0,0.0,neutral or dissatisfied
16515,114713,Female,Loyal Customer,55,Business travel,Business,404,3,3,3,3,4,5,5,3,3,3,3,3,3,5,36,36.0,satisfied
16516,111514,Male,Loyal Customer,18,Personal Travel,Eco,391,3,4,3,3,5,3,5,5,4,3,5,3,4,5,0,0.0,neutral or dissatisfied
16517,90219,Female,Loyal Customer,67,Personal Travel,Eco,957,2,1,2,3,3,4,4,1,1,2,1,3,1,1,0,0.0,neutral or dissatisfied
16518,98906,Male,disloyal Customer,28,Business travel,Business,543,0,0,0,1,1,0,1,1,5,3,5,3,5,1,14,7.0,satisfied
16519,82088,Female,disloyal Customer,25,Business travel,Eco,1276,3,3,3,2,2,3,2,2,4,1,2,3,3,2,68,59.0,neutral or dissatisfied
16520,38206,Female,disloyal Customer,35,Business travel,Eco Plus,1237,3,3,3,4,2,3,2,2,3,2,2,5,3,2,0,0.0,neutral or dissatisfied
16521,61534,Female,Loyal Customer,48,Personal Travel,Eco,2419,4,4,4,3,5,3,4,2,2,4,2,1,2,4,11,7.0,neutral or dissatisfied
16522,38927,Female,Loyal Customer,42,Business travel,Eco,298,4,3,4,4,4,5,5,4,4,4,4,2,4,3,0,0.0,satisfied
16523,128458,Female,Loyal Customer,39,Personal Travel,Eco,370,2,4,2,4,4,2,4,4,2,4,3,2,5,4,0,0.0,neutral or dissatisfied
16524,112274,Male,disloyal Customer,21,Business travel,Eco,1272,1,1,1,3,1,1,2,1,4,1,3,1,4,1,0,0.0,neutral or dissatisfied
16525,110481,Male,Loyal Customer,50,Personal Travel,Eco,663,1,2,1,2,2,1,3,2,3,4,1,4,3,2,0,0.0,neutral or dissatisfied
16526,68180,Male,Loyal Customer,25,Personal Travel,Eco,603,2,5,2,5,4,2,4,4,5,5,4,3,4,4,1,0.0,neutral or dissatisfied
16527,128819,Male,disloyal Customer,46,Business travel,Business,2475,1,0,0,3,1,4,4,4,4,5,4,4,5,4,0,6.0,neutral or dissatisfied
16528,129074,Female,Loyal Customer,28,Personal Travel,Business,2342,3,4,3,3,3,3,3,1,3,5,5,3,3,3,0,0.0,neutral or dissatisfied
16529,18165,Female,Loyal Customer,17,Personal Travel,Eco,430,1,5,1,5,5,1,5,5,5,5,5,4,5,5,0,0.0,neutral or dissatisfied
16530,118702,Male,Loyal Customer,8,Personal Travel,Eco,646,3,4,3,2,1,3,1,1,3,2,5,2,2,1,21,34.0,neutral or dissatisfied
16531,38290,Female,Loyal Customer,32,Personal Travel,Eco Plus,1173,2,5,2,3,3,2,3,3,4,4,4,3,4,3,57,58.0,neutral or dissatisfied
16532,24611,Male,Loyal Customer,34,Business travel,Business,3661,2,2,2,2,5,4,5,4,4,4,4,3,4,1,28,82.0,satisfied
16533,122542,Female,Loyal Customer,33,Business travel,Business,2396,2,2,2,2,2,4,5,5,5,5,5,3,5,3,27,25.0,satisfied
16534,120299,Male,disloyal Customer,34,Business travel,Business,268,3,4,4,4,3,4,3,3,4,2,5,4,5,3,0,0.0,neutral or dissatisfied
16535,89329,Female,Loyal Customer,44,Business travel,Business,1587,5,5,5,5,5,3,4,4,4,4,4,3,4,3,7,0.0,satisfied
16536,48471,Male,Loyal Customer,36,Business travel,Eco,819,2,1,1,1,2,2,2,2,3,3,4,3,4,2,0,0.0,neutral or dissatisfied
16537,56140,Female,Loyal Customer,32,Business travel,Business,1400,4,4,4,4,5,5,5,5,3,4,5,3,4,5,13,0.0,satisfied
16538,25571,Male,Loyal Customer,28,Business travel,Business,2840,2,4,4,4,2,2,2,2,4,2,3,3,4,2,14,17.0,neutral or dissatisfied
16539,88992,Male,Loyal Customer,54,Business travel,Business,3192,3,3,3,3,2,5,5,2,2,2,2,5,2,5,5,0.0,satisfied
16540,77021,Female,disloyal Customer,25,Business travel,Business,368,3,0,3,2,2,3,2,2,4,5,5,5,4,2,0,0.0,neutral or dissatisfied
16541,75902,Female,Loyal Customer,26,Business travel,Business,603,3,3,3,3,5,4,5,5,4,3,4,3,1,5,0,0.0,satisfied
16542,67933,Female,Loyal Customer,65,Personal Travel,Eco,1464,1,4,2,3,3,3,5,2,2,2,2,5,2,5,0,0.0,neutral or dissatisfied
16543,95338,Male,Loyal Customer,60,Personal Travel,Eco,239,1,5,1,2,5,1,5,5,2,1,1,3,5,5,47,54.0,neutral or dissatisfied
16544,116077,Female,Loyal Customer,38,Personal Travel,Eco,447,1,5,1,2,5,1,5,5,3,2,5,3,3,5,10,3.0,neutral or dissatisfied
16545,46957,Male,Loyal Customer,67,Personal Travel,Eco,959,2,4,2,4,3,2,3,3,5,4,4,4,4,3,1,0.0,neutral or dissatisfied
16546,57405,Female,Loyal Customer,47,Business travel,Business,455,4,4,4,4,3,4,4,5,5,5,5,5,5,5,0,16.0,satisfied
16547,113165,Male,Loyal Customer,44,Business travel,Business,1558,2,2,2,2,3,5,4,4,4,4,4,5,4,4,1,1.0,satisfied
16548,34826,Male,Loyal Customer,38,Business travel,Eco Plus,301,5,3,3,3,5,5,5,5,5,5,3,1,3,5,0,0.0,satisfied
16549,64976,Male,Loyal Customer,24,Business travel,Business,469,1,1,4,1,1,1,1,1,4,2,2,2,1,1,22,18.0,neutral or dissatisfied
16550,74297,Female,Loyal Customer,60,Business travel,Business,2288,5,5,5,5,5,4,4,5,5,5,5,3,5,3,44,14.0,satisfied
16551,32621,Female,Loyal Customer,32,Business travel,Eco,101,2,4,4,4,2,3,2,2,4,2,4,1,3,2,0,0.0,neutral or dissatisfied
16552,13962,Female,Loyal Customer,9,Personal Travel,Eco,153,2,5,2,3,2,2,2,2,4,4,5,5,5,2,0,0.0,neutral or dissatisfied
16553,85910,Male,Loyal Customer,59,Business travel,Business,761,3,3,3,3,2,4,5,4,4,4,4,5,4,3,0,0.0,satisfied
16554,103731,Female,Loyal Customer,35,Personal Travel,Eco,251,3,5,3,4,5,3,5,5,5,2,3,1,4,5,2,0.0,neutral or dissatisfied
16555,59893,Female,Loyal Customer,60,Business travel,Business,2685,2,2,3,2,5,5,4,4,4,4,4,5,4,5,3,0.0,satisfied
16556,33411,Female,Loyal Customer,37,Business travel,Business,2556,1,1,2,1,3,3,1,4,4,4,4,2,4,3,32,23.0,satisfied
16557,45766,Female,Loyal Customer,35,Business travel,Business,3983,4,4,4,4,2,2,3,5,5,5,5,3,5,1,0,10.0,satisfied
16558,36917,Male,Loyal Customer,65,Business travel,Business,340,3,3,3,3,2,5,5,4,4,4,4,5,4,3,0,0.0,satisfied
16559,117200,Female,Loyal Customer,37,Personal Travel,Eco,651,1,1,2,2,4,2,4,4,1,1,2,3,2,4,26,8.0,neutral or dissatisfied
16560,115091,Female,disloyal Customer,21,Business travel,Business,337,5,0,4,2,4,4,4,4,4,3,5,4,5,4,37,32.0,satisfied
16561,28803,Male,Loyal Customer,22,Business travel,Business,954,1,1,1,1,5,5,5,5,4,1,5,5,5,5,3,0.0,satisfied
16562,119787,Male,disloyal Customer,22,Business travel,Eco,936,2,2,2,3,3,2,3,3,1,2,3,1,4,3,0,27.0,neutral or dissatisfied
16563,88115,Male,disloyal Customer,20,Business travel,Eco,240,5,0,5,2,2,5,2,2,5,3,4,4,5,2,0,0.0,satisfied
16564,95143,Male,Loyal Customer,40,Personal Travel,Eco,148,5,1,0,3,5,0,5,5,4,1,2,3,2,5,10,0.0,satisfied
16565,18185,Female,Loyal Customer,42,Business travel,Eco,235,2,2,2,2,4,3,4,2,2,2,2,4,2,1,0,8.0,neutral or dissatisfied
16566,99046,Male,Loyal Customer,52,Business travel,Business,419,2,2,2,2,5,3,3,2,2,2,2,1,2,1,29,18.0,neutral or dissatisfied
16567,41797,Male,disloyal Customer,38,Business travel,Eco,489,1,0,1,4,1,1,1,1,2,2,1,5,1,1,0,0.0,neutral or dissatisfied
16568,103030,Female,Loyal Customer,58,Business travel,Eco,687,3,4,4,4,1,3,3,4,4,3,4,4,4,2,92,103.0,neutral or dissatisfied
16569,38985,Female,Loyal Customer,33,Business travel,Business,406,2,4,4,4,3,3,4,2,2,2,2,1,2,4,31,18.0,neutral or dissatisfied
16570,82589,Male,Loyal Customer,17,Business travel,Business,528,1,5,5,5,1,1,1,1,4,3,3,1,3,1,0,0.0,neutral or dissatisfied
16571,115668,Male,disloyal Customer,25,Business travel,Eco,372,4,1,3,3,5,3,5,5,4,3,4,1,3,5,0,0.0,neutral or dissatisfied
16572,33461,Female,disloyal Customer,16,Business travel,Eco,1425,3,3,3,3,3,1,1,1,4,4,4,1,1,1,0,30.0,neutral or dissatisfied
16573,91916,Female,Loyal Customer,56,Business travel,Business,2586,3,4,4,4,3,2,4,3,3,3,3,4,3,2,29,18.0,neutral or dissatisfied
16574,103285,Male,Loyal Customer,28,Business travel,Business,2405,4,4,4,4,4,4,4,4,3,1,3,3,4,4,30,35.0,neutral or dissatisfied
16575,29952,Male,disloyal Customer,62,Business travel,Eco,95,2,3,2,3,2,2,2,2,1,5,5,4,5,2,0,0.0,neutral or dissatisfied
16576,15498,Female,Loyal Customer,12,Personal Travel,Eco,331,3,5,3,1,5,3,5,5,4,1,3,1,4,5,83,76.0,neutral or dissatisfied
16577,43372,Female,Loyal Customer,69,Personal Travel,Eco,531,1,4,1,1,3,4,4,1,1,1,1,4,1,3,0,0.0,neutral or dissatisfied
16578,112774,Male,Loyal Customer,64,Personal Travel,Eco,590,3,5,3,4,3,3,3,3,3,5,4,5,2,3,15,16.0,neutral or dissatisfied
16579,57964,Female,Loyal Customer,40,Personal Travel,Eco,1911,3,5,4,1,5,4,5,5,5,2,3,5,5,5,6,21.0,neutral or dissatisfied
16580,111151,Female,Loyal Customer,19,Personal Travel,Eco,1050,1,5,1,1,5,1,5,5,4,5,5,3,4,5,0,0.0,neutral or dissatisfied
16581,31484,Female,Loyal Customer,56,Business travel,Business,2842,3,3,3,3,4,1,5,4,4,4,4,2,4,3,9,7.0,satisfied
16582,114367,Male,Loyal Customer,59,Business travel,Business,1696,1,1,1,1,5,5,5,4,4,4,4,5,4,4,0,0.0,satisfied
16583,53109,Female,Loyal Customer,26,Business travel,Eco,2065,5,4,4,4,5,5,5,5,1,5,4,5,5,5,0,0.0,satisfied
16584,104207,Female,Loyal Customer,40,Business travel,Business,680,4,4,4,4,3,5,5,4,4,4,4,3,4,3,0,0.0,satisfied
16585,111454,Female,Loyal Customer,66,Personal Travel,Eco,1024,5,5,5,5,5,1,1,4,3,5,4,1,3,1,194,190.0,satisfied
16586,33294,Male,Loyal Customer,52,Personal Travel,Eco Plus,102,4,5,4,1,1,4,1,1,4,4,5,4,5,1,0,0.0,neutral or dissatisfied
16587,3219,Male,Loyal Customer,11,Business travel,Business,2323,1,0,0,4,1,0,1,1,3,1,3,2,4,1,0,3.0,neutral or dissatisfied
16588,103683,Female,Loyal Customer,47,Business travel,Business,405,1,1,1,1,5,4,4,5,5,5,5,4,5,4,38,23.0,satisfied
16589,74547,Female,Loyal Customer,55,Business travel,Business,1431,5,5,5,5,4,4,4,4,4,4,4,4,4,4,24,12.0,satisfied
16590,64077,Female,Loyal Customer,34,Personal Travel,Eco,919,3,4,3,3,3,3,3,3,5,4,4,3,4,3,54,61.0,neutral or dissatisfied
16591,52395,Female,Loyal Customer,31,Personal Travel,Eco,261,3,5,3,4,1,3,1,1,3,3,4,4,4,1,0,0.0,neutral or dissatisfied
16592,55824,Male,Loyal Customer,37,Business travel,Business,1416,1,1,1,1,5,4,5,4,4,5,4,5,4,3,0,0.0,satisfied
16593,156,Female,disloyal Customer,49,Business travel,Business,227,2,2,2,3,3,2,5,3,1,5,4,2,3,3,4,9.0,neutral or dissatisfied
16594,68653,Male,Loyal Customer,42,Business travel,Business,237,3,3,3,3,3,4,5,5,5,5,5,3,5,5,0,2.0,satisfied
16595,33551,Male,disloyal Customer,22,Business travel,Eco,399,5,1,5,3,4,1,4,4,1,2,4,2,5,4,0,8.0,satisfied
16596,95326,Male,Loyal Customer,25,Personal Travel,Eco,293,2,5,2,3,2,2,2,2,3,5,5,3,5,2,33,34.0,neutral or dissatisfied
16597,68861,Female,disloyal Customer,37,Business travel,Business,936,4,4,4,4,4,4,2,4,4,5,5,5,5,4,25,11.0,neutral or dissatisfied
16598,76188,Male,Loyal Customer,31,Business travel,Business,2422,4,4,4,4,5,5,5,5,5,4,5,4,4,5,0,0.0,satisfied
16599,88771,Male,Loyal Customer,51,Business travel,Business,2768,4,4,4,4,5,5,4,3,3,3,3,4,3,4,2,0.0,satisfied
16600,9129,Male,Loyal Customer,57,Personal Travel,Eco,765,1,4,1,3,2,1,2,2,5,4,5,4,5,2,0,0.0,neutral or dissatisfied
16601,104080,Male,Loyal Customer,32,Personal Travel,Eco,359,4,4,4,3,4,4,4,4,5,4,5,4,5,4,0,0.0,satisfied
16602,86200,Female,Loyal Customer,44,Business travel,Business,2251,2,4,4,4,4,2,3,2,2,2,2,1,2,3,3,4.0,neutral or dissatisfied
16603,57347,Male,Loyal Customer,56,Business travel,Business,1859,1,1,1,1,4,5,5,4,4,4,4,5,4,4,0,0.0,satisfied
16604,22029,Male,Loyal Customer,28,Business travel,Eco Plus,503,2,4,4,4,2,1,2,2,2,5,4,1,4,2,0,0.0,neutral or dissatisfied
16605,43885,Male,Loyal Customer,35,Business travel,Eco,174,4,1,1,1,4,4,4,4,1,4,3,5,5,4,0,0.0,satisfied
16606,103131,Male,Loyal Customer,57,Business travel,Business,460,1,1,3,1,5,4,4,5,5,5,5,3,5,5,8,2.0,satisfied
